code,genus,species ,family
SR,Syzygium,rubicundum,Myrtaceae
Symp,Symplocos,racemosa,Symplocaceae
Climber1,Spatholobus,purpureus,Fabaceae
FLC,Ventilago,madraspatana,Rhamnaceae
Cinam,Cinnamomum,sp.,Lauraceae
